asi_id,name,state,region_or_circle,district,location,latitude,longitude,primary_image,image_url,wikimedia_commons_category,protection_status
N-GJ-1,Three gates besides Bhadrakali temple (Azam Khan Sarai),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.023855,72.581440,Azam Khan Sarai.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Azam_Khan_Sarai.jpg?width=640,Azam Khan Sarai,Centrally Protected Monument of National Importance (ASI)
N-GJ-2,Bhadra Tower (Bhadra gate),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.024260,72.581501,Bhadra Fort Clock tower.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Bhadra_Fort_Clock_tower.JPG?width=640,Bhadra Tower,Centrally Protected Monument of National Importance (ASI)
N-GJ-3,Sidi Saiyyed Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.02708,72.58103,Mosque of Sidi Sayed Jaali.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Mosque_of_Sidi_Sayed_Jaali.JPG?width=640,Sidi Saiyyed Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-4,Ahmed Shah's Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.022701,72.578980,Ahmad Shah Mosque-ahmedabad-Gujarat-DSC001.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ahmad_Shah_Mosque-ahmedabad-Gujarat-DSC001.jpg?width=640,Ahmed Shah Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-5,Teen Darwaza,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.024336,72.584545,Teen Darwaja (Three Gates) Ahmedabad.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Teen_Darwaja_%28Three_Gates%29_Ahmedabad.jpg?width=640,Teen Darwaja,Centrally Protected Monument of National Importance (ASI)
N-GJ-6,Shah Kupai Masjid (Shah Khoob Masjid),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.023815,72.583200,Shah_Yaqub_Masjid_.Ahmedabad.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Shah_Yaqub_Masjid_.Ahmedabad.jpg?width=640,Shah Kupai Masjid,Centrally Protected Monument of National Importance (ASI)
N-GJ-7,"Jama Masjid, Ahmedabad",Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.02387,72.58709,"Jama_Masjid,_Ahmedabad_01.jpg",https://commons.wikimedia.org/wiki/Special:FilePath/Jama_Masjid%2C_Ahmedabad_01.jpg?width=640,Jama Masjid (Ahmedabad),Centrally Protected Monument of National Importance (ASI)
N-GJ-8,Rani no Hajiro (Tombs of Queens of Ahmed Shah),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.023742,72.589119,Tombs of Queens of Ahmed Shah (Rani Ka Ghar).jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Tombs_of_Queens_of_Ahmed_Shah_%28Rani_Ka_Ghar%29.jpg?width=640,Rani no Hajiro,Centrally Protected Monument of National Importance (ASI)
N-GJ-9,Ahmed Shah's Tomb (Badshah no Hajiro),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.023792,72.587954,Ahmed Shah No Hajiro 5.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ahmed_Shah_No_Hajiro_5.jpg?width=640,Ahmed Shah's Tomb,Centrally Protected Monument of National Importance (ASI)
N-GJ-10,Panchkuwa gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.02512,72.59724,Panchkuva Gate Ahmedabad.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Panchkuva_Gate_Ahmedabad.jpg?width=640,Panchkuwa gate,Centrally Protected Monument of National Importance (ASI)
N-GJ-11,Queen's Mosque in Sarangpur,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.022858,72.595890,Queen's Mosque Sarangpur page-0001.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Queen%27s_Mosque_Sarangpur_page-0001.jpg?width=640,"Queen's Mosque, Sarangpur",Centrally Protected Monument of National Importance (ASI)
N-GJ-12,"Tomb near Queen's Mosque, Sarangpur",Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.022883,72.596235,,,,Centrally Protected Monument of National Importance (ASI)
N-GJ-13,Brick Minars,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.02792,72.60109,Shaking Minarets outside Ahmedabad railway station.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Shaking_Minarets_outside_Ahmedabad_railway_station.jpg?width=640,Shaking Minarets at Ahmedabad railway station,Centrally Protected Monument of National Importance (ASI)
N-GJ-14,Sidi Bashir Mosque - (Jhulta Minar),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.02371,72.59975,Shaking Minarets.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Shaking_Minarets.jpg?width=640,Sidi Bashir Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-15,Delhi gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.037851,72.587983,"Delhi_Darwaja,_Ahmedabad.JPG",https://commons.wikimedia.org/wiki/Special:FilePath/Delhi_Darwaja%2C_Ahmedabad.JPG?width=640,"Delhi Darwaja, Ahmedabad",Centrally Protected Monument of National Importance (ASI)
N-GJ-16,Qutub Shah's Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0353252,72.5873828,Qutub Shah Mosque 7.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Qutub_Shah_Mosque_7.jpg?width=640,Qutbuddin Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-17,Hazrat Harir's Mosque &amp; Tomb,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.04083,72.60484,View_of_mosque_from_tomb.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/View_of_mosque_from_tomb.jpg?width=640,Dada Harir's Mosque and Tomb,Centrally Protected Monument of National Importance (ASI)
N-GJ-18,Dada Harir Stepwell,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.04074,72.60534,600 YEAR OLD DADA HARIR STEPWELL AHMEDABAD.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/600_YEAR_OLD_DADA_HARIR_STEPWELL_AHMEDABAD.jpg?width=640,Dada Harir Stepwell,Centrally Protected Monument of National Importance (ASI)
N-GJ-19,Kalulpur gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.03084,72.59799,Kalupur Darwaja 2.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Kalupur_Darwaja_2.jpg?width=640,Kalupur Darwaja,Centrally Protected Monument of National Importance (ASI)
N-GJ-20,Sarangpur Gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0225,72.598056,Sarangpur Darwaja 2.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Sarangpur_Darwaja_2.jpg?width=640,Sarangpur Darwaja,Centrally Protected Monument of National Importance (ASI)
N-GJ-21,Dariyapur gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.03744,72.59295,Dariyapur Darwaja 3.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Dariyapur_Darwaja_3.jpg?width=640,Dariyapur Darwaja,Centrally Protected Monument of National Importance (ASI)
N-GJ-22,Premabhai gate,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.035,72.596667,Prem Darwaja.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Prem_Darwaja.jpg?width=640,Prem Darwaja,Centrally Protected Monument of National Importance (ASI)
N-GJ-23,Mata Bhavani's Stepwell,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0443357,72.6068337,Mata Bhavani's Stepwell Ahmedabad 1866.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Mata_Bhavani%27s_Stepwell_Ahmedabad_1866.jpg?width=640,Mata Bhavani's Stepwell,Centrally Protected Monument of National Importance (ASI)
N-GJ-24,Achut Bibi's Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0477,72.58139,Achyut Bibis Masjid and Tomb Ahmedabad 1855.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Achyut_Bibis_Masjid_and_Tomb_Ahmedabad_1855.jpg?width=640,Achut Bibi's Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-25,Dariya Khan's Tomb,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.052725,72.586809,Darya Khan's Tomb Ahmedabad 1866.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Darya_Khan%27s_Tomb_Ahmedabad_1866.jpg?width=640,"Darya Khan's Tomb, Ahmedabad",Centrally Protected Monument of National Importance (ASI)
N-GJ-26,Muhafiz Khan Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.03313,72.58806,Muhafiz Khan Mosque Ahmedabhad 1855.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Muhafiz_Khan_Mosque_Ahmedabhad_1855.jpg?width=640,Muhafiz Khan Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-27,Rani Rupamati's Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.031792,72.583744,Rani Rupavati's Mosque 02.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Rani_Rupavati%27s_Mosque_02.jpg?width=640,Rani Rupavati's Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-28,Shahpur Kazi Mohmad Chisti's Masjid,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0376798,72.5804191,Shahpur Mosque Ahmedabad 1866.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Shahpur_Mosque_Ahmedabad_1866.jpg?width=640,Shahpur Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-29,Saiyad Usman Mosque and Tomb,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.0480301,72.5694835,The Mosque Of Shamme Burhani ( R.A ) A Rare Picture.png,https://commons.wikimedia.org/wiki/Special:FilePath/The_Mosque_Of_Shamme_Burhani_%28_R.A_%29_A_Rare_Picture.png?width=640,Saiyad Usman Mosque,Centrally Protected Monument of National Importance (ASI)
N-GJ-30,Shah-e-Alam's Roza,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,22.9945456,72.5893199,Tomb of Shah Alam Ahmedabhad 1860s.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_Shah_Alam_Ahmedabhad_1860s.jpg?width=640,Shah Alam Roza,Centrally Protected Monument of National Importance (ASI)
N-GJ-31,Small stone Mosque (Rani Masjid),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,23.010383,72.565132,,,,Centrally Protected Monument of National Importance (ASI)
